Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Europe and Northern America,urban,Drinking water,2020,0.04162,359808.82647,Surface water
sdg,Europe and Northern America,total,Drinking water,2020,0.4351,4857907.17893,Unimproved
sdg,Europe and Northern America,rural,Drinking water,2020,1.32864,3349490.88502,Unimproved
sdg,Europe and Northern America,urban,Drinking water,2020,0.1745,1508414.77424,Unimproved
sdg,Latin America and the Caribbean,rural,Sanitation,2020,72.70401,89956919.29872,At least basic
sdg,Latin America and the Caribbean,total,Sanitation,2020,54.97207,359469973.77244,Basic service
sdg,Latin America and the Caribbean,urban,Sanitation,2020,53.3077,282628612.99357,Basic service
sdg,Latin America and the Caribbean,total,Sanitation,2020,4.21705,27575854.24798,Limited service
sdg,Latin America and the Caribbean,rural,Sanitation,2020,6.15654,7617507.66895,Limited service
sdg,Latin America and the Caribbean,urban,Sanitation,2020,3.76481,19960394.06117,Limited service
sdg,Latin America and the Caribbean,total,Sanitation,2020,1.51372,9898438.72691,Open defecation
sdg,Latin America and the Caribbean,rural,Sanitation,2020,6.00836,7434167.30282,Open defecation
sdg,Latin America and the Caribbean,urban,Sanitation,2020,0.46493,2465006.24418,Open defecation
sdg,Latin America and the Caribbean,total,Sanitation,2020,34.06797,222775133.52066,Safely managed service
sdg,Latin America and the Caribbean,urban,Sanitation,2020,39.55288,209702808.14453,Safely managed service
sdg,Latin America and the Caribbean,total,Sanitation,2020,5.22919,34194385.73202,Unimproved
sdg,Latin America and the Caribbean,rural,Sanitation,2020,15.13109,18721746.45099,Unimproved
sdg,Latin America and the Caribbean,urban,Sanitation,2020,2.90968,15426627.41146,Unimproved
sdg,Latin America and the Caribbean,total,Drinking water,2020,21.96017,143600608.76176,Basic service
sdg,Latin America and the Caribbean,rural,Drinking water,2020,36.8488,45593141.3119,Basic service
sdg,Latin America and the Caribbean,urban,Drinking water,2020,18.48759,98018129.50172,Basic service
sdg,Latin America and the Caribbean,total,Drinking water,2020,0.4414,2886374.35348,Limited service
sdg,Latin America and the Caribbean,rural,Drinking water,2020,1.43477,1775249.29632,Limited service
sdg,Latin America and the Caribbean,urban,Drinking water,2020,0.20961,1111339.34048,Limited service
sdg,Latin America and the Caribbean,total,Drinking water,2020,75.38207,492933774.77541,Safely managed service
sdg,Latin America and the Caribbean,rural,Drinking water,2020,53.1285,65736077.30947,Safely managed service
sdg,Latin America and the Caribbean,urban,Drinking water,2020,80.58235,427234299.30525,Safely managed service
sdg,Latin America and the Caribbean,total,Drinking water,2020,0.84951,5555083.93654,Surface water
sdg,Latin America and the Caribbean,rural,Drinking water,2020,4.38272,5422754.39762,Surface water
sdg,Latin America and the Caribbean,urban,Drinking water,2020,0.02504,132741.89118,Surface water
sdg,Latin America and the Caribbean,total,Drinking water,2020,1.36684,8937944.17281,Unimproved
sdg,Latin America and the Caribbean,rural,Drinking water,2020,4.20521,5203118.39986,Unimproved
sdg,Latin America and the Caribbean,urban,Drinking water,2020,0.69541,3686938.81627,Unimproved
sdg,Northern Africa and Western Asia,total,Hygiene,2020,90.69844,476955250.43004,Basic service
sdg,Northern Africa and Western Asia,rural,Hygiene,2020,86.86046,168280524.30399,Basic service
sdg,Northern Africa and Western Asia,total,Hygiene,2020,6.79726,35744677.6278,Limited service
sdg,Northern Africa and Western Asia,rural,Hygiene,2020,9.91797,19214743.63336,Limited service
sdg,Northern Africa and Western Asia,total,Hygiene,2020,2.5043,13169364.79083,No handwashing facility
sdg,Northern Africa and Western Asia,rural,Hygiene,2020,3.22157,6241354.34085,No handwashing facility
sdg,Northern Africa and Western Asia,rural,Sanitation,2020,76.902,148987338.09187,At least basic
sdg,Northern Africa and Western Asia,total,Sanitation,2020,46.72307,245702258.29351,Basic service
sdg,Northern Africa and Western Asia,urban,Sanitation,2020,39.49072,131161582.50018,Basic service
sdg,Northern Africa and Western Asia,total,Sanitation,2020,2.9484,15504756.57252,Limited service
sdg,Northern Africa and Western Asia,rural,Sanitation,2020,3.74628,7257922.54989,Limited service
sdg,Northern Africa and Western Asia,urban,Sanitation,2020,2.48299,8246834.03311,Limited service
sdg,Northern Africa and Western Asia,total,Sanitation,2020,2.82164,14838124.99732,Open defecation
sdg,Northern Africa and Western Asia,rural,Sanitation,2020,7.43399,14402356.01687,Open defecation
sdg,Northern Africa and Western Asia,urban,Sanitation,2020,0.1312,435768.895,Open defecation
sdg,Northern Africa and Western Asia,total,Sanitation,2020,41.72596,219424009.95598,Safely managed service
sdg,Northern Africa and Western Asia,urban,Sanitation,2020,55.69381,184977342.90189,Safely managed service
sdg,Northern Africa and Western Asia,total,Sanitation,2020,5.78093,30400145.18067,Unimproved
sdg,Northern Africa and Western Asia,rural,Sanitation,2020,11.91773,23088999.65673,Unimproved
sdg,Northern Africa and Western Asia,urban,Sanitation,2020,2.20127,7311143.27981,Unimproved
sdg,Northern Africa and Western Asia,rural,Drinking water,2020,84.50507,163717260.36333,At least basic
sdg,Northern Africa and Western Asia,total,Drinking water,2020,13.33191,70108423.8116,Basic service
